timestamp,occupancy,speed,TravelTime
2015-09-01 14:25:00,2.28,93,116
2015-09-01 14:35:00,1.67,77,140
2015-09-01 14:35:00,12.89,77,140
2015-09-01 14:45:00,12.0,88,126
2015-09-02 09:00:00,6.83,90,210
2015-09-02 09:00:00,12.78,90,210
2015-09-02 14:20:00,6.72,79,47
2015-09-02 14:20:00,11.78,79,47
2015-09-02 17:10:00,8.5,78,151
2015-09-02 17:10:00,14.67,78,151
2015-09-02 22:36:00,2.56,89,605
2015-09-03 00:36:00,1.06,71,940
2015-09-03 00:36:00,2.61,71,940
2015-09-03 01:26:00,1.28,73,674
2015-09-03 01:56:00,0.5,79,411
2015-09-03 01:56:00,2.28,79,411
2015-09-03 06:06:00,12.28,86,118
2015-09-03 06:06:00,4.11,86,118
2015-09-03 06:16:00,21.17,80,121
2015-09-03 06:16:00,5.06,80,121
2015-09-03 06:46:00,14.78,86,127
2015-09-03 08:16:00,10.28,78,176
2015-09-03 08:26:00,9.28,75,228
2015-09-03 08:46:00,15.33,87,429
2015-09-03 08:46:00,7.5,87,429
2015-09-03 08:56:00,8.0,94,404
2015-09-03 09:06:00,14.28,82,358
2015-09-03 09:26:00,8.39,79,274
2015-09-03 09:26:00,12.06,79,274
2015-09-03 10:06:00,6.94,73,298
2015-09-03 10:06:00,17.28,73,298
2015-09-03 10:16:00,3.06,89,314
2015-09-03 10:26:00,2.94,60,352
2015-09-03 10:26:00,6.22,60,352
2015-09-03 10:36:00,4.89,91,321
2015-09-03 10:36:00,7.17,91,321
2015-09-03 11:36:00,7.06,86,194
2015-09-03 11:36:00,16.72,86,194
2015-09-03 11:46:00,3.5,94,158
2015-09-03 11:46:00,11.39,94,158
2015-09-03 12:16:00,2.83,78,197
2015-09-03 12:16:00,7.56,78,197
2015-09-03 16:36:00,7.33,82,992
2015-09-03 16:36:00,10.33,82,992
2015-09-03 16:46:00,11.44,80,1307
2015-09-03 16:46:00,11.44,80,162
2015-09-03 16:46:00,9.72,80,1307
2015-09-03 16:46:00,9.72,80,162
2015-09-03 16:56:00,10.17,87,1822
2015-09-03 17:06:00,9.83,97,1761
2015-09-03 17:06:00,6.22,97,1761
2015-09-03 17:16:00,9.83,88,1720
2015-09-03 17:36:00,5.78,91,1449
2015-09-03 17:36:00,5.78,91,168
2015-09-03 17:36:00,4.39,91,1449
2015-09-03 17:36:00,4.39,91,168
2015-09-03 17:46:00,3.89,88,1319
2015-09-03 17:46:00,5.06,88,1319
2015-09-03 17:56:00,3.5,92,126
2015-09-03 17:56:00,9.17,92,126
2015-09-03 18:31:00,3.61,84,482
2015-09-03 18:31:00,11.17,84,482
2015-09-03 19:06:00,3.33,85,553
2015-09-03 19:06:00,3.33,85,141
2015-09-03 19:06:00,4.83,85,553
2015-09-03 19:06:00,4.83,85,141
2015-09-03 19:26:00,3.44,79,307
2015-09-03 21:02:00,4.0,81,232
2015-09-03 21:42:00,4.89,77,187
2015-09-03 21:42:00,4.11,77,187
2015-09-03 23:32:00,3.11,72,150
2015-09-03 23:42:00,0.89,95,174
2015-09-03 23:42:00,0.83,95,174
2015-09-04 00:02:00,2.56,80,214
2015-09-04 00:02:00,2.61,80,214
2015-09-04 07:52:00,6.17,90,151
2015-09-04 11:02:00,8.61,80,292
2015-09-04 11:02:00,7.39,80,292
2015-09-04 13:52:00,5.56,92,495
2015-09-04 14:02:00,3.11,91,626
